environment: 
YAML: configs/bt.sc.c10.yaml
==> SEED: 42
==> num_classes: 10
==> data_name: cifar10
==> data_params: {'algo': 'bt-sc', 'data_dir': 'datasets/cifar10', 'batch_size': 512, 'num_workers': 3, 'image_size': 32}
==> return_logs: False
==> eval_every: 10
==> n_epochs: 800
==> n_epochs_mlp: 100
==> gpu_id: 2
==> opt: SGD
==> opt_params: {'lr': 0.4, 'momentum': 0.9, 'weight_decay': 0.0001}
==> schedular_params: {'T_max': 800, 'eta_min': 0.001}
==> mlp_opt: SGD
==> mlp_opt_params: {'lr': 0.1, 'momentum': 0.9}
==> energy_model_params: {'eta': 0.01, 'steps': 5, 'sigma': 0.2, 'delta': 0.1, 'net_type': 'score'}
==> energy_opt: AdamW
==> energy_model_opt_params: {'lr': 0.001}
==> warmup_epochs: 0
==> model_params: {'model_name': 'resnet18', 'pretrained': False, 'proj_dim': 4096, 'barlow_hidden': 4096}
==> mlp_type: linear
==> loss: bt-sc
==> loss_params: {'lambd': 0.005}
==> distributed: False
==> train_algo: bt-sc
==> model_save_path: saved_models/bt.sc.c10.r18.e800.pth
==> config: configs/bt.sc.c10.yaml
--------------------------------------------------
===> using linear mlp
using optimizer: SGD
using optimizer: SGD
loss function: bt-sc
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
# of Training Images: 50000
# of Testing Images: 10000
using optimizer: AdamW
### Barlow Twins with SC-net Training begins
[GPU2] epochs: [1/800] train_loss_con: 4329.371 energy_loss: 256.073
[GPU2] epochs: [2/800] train_loss_con: 3833.259 energy_loss: 256.053
[GPU2] epochs: [3/800] train_loss_con: 3693.509 energy_loss: 256.107
[GPU2] epochs: [4/800] train_loss_con: 3660.339 energy_loss: 256.005
[GPU2] epochs: [5/800] train_loss_con: 3629.817 energy_loss: 255.938
[GPU2] epochs: [6/800] train_loss_con: 3643.338 energy_loss: 255.974
[GPU2] epochs: [7/800] train_loss_con: 3562.585 energy_loss: 255.980
[GPU2] epochs: [8/800] train_loss_con: 3485.349 energy_loss: 255.964
[GPU2] epochs: [9/800] train_loss_con: 3466.340 energy_loss: 256.005
[GPU2] epochs: [10/800] train_loss_con: 3432.285 energy_loss: 255.963
[GPU2] epochs: [11/800] train_loss_con: 3373.991 energy_loss: 256.110
[GPU2] epochs: [12/800] train_loss_con: 3363.453 energy_loss: 256.030
[GPU2] epochs: [13/800] train_loss_con: 3349.239 energy_loss: 255.973
[GPU2] epochs: [14/800] train_loss_con: 3302.921 energy_loss: 256.014
[GPU2] epochs: [15/800] train_loss_con: 3210.629 energy_loss: 255.986
[GPU2] epochs: [16/800] train_loss_con: 3155.056 energy_loss: 256.049
[GPU2] epochs: [17/800] train_loss_con: 3107.998 energy_loss: 256.026
[GPU2] epochs: [18/800] train_loss_con: 3054.093 energy_loss: 255.899
[GPU2] epochs: [19/800] train_loss_con: 3002.906 energy_loss: 256.029
[GPU2] epochs: [20/800] train_loss_con: 2925.942 energy_loss: 256.037
[GPU2] epochs: [21/800] train_loss_con: 2822.582 energy_loss: 255.979
[GPU2] epochs: [22/800] train_loss_con: 2693.040 energy_loss: 255.947
[GPU2] epochs: [23/800] train_loss_con: 2607.623 energy_loss: 256.078
[GPU2] epochs: [24/800] train_loss_con: 2516.296 energy_loss: 255.958
[GPU2] epochs: [25/800] train_loss_con: 2448.683 energy_loss: 255.928
[GPU2] epochs: [26/800] train_loss_con: 2369.546 energy_loss: 256.003
[GPU2] epochs: [27/800] train_loss_con: 2298.263 energy_loss: 255.930
[GPU2] epochs: [28/800] train_loss_con: 2213.096 energy_loss: 255.956
[GPU2] epochs: [29/800] train_loss_con: 2139.819 energy_loss: 256.014
[GPU2] epochs: [30/800] train_loss_con: 2069.546 energy_loss: 256.111
[GPU2] epochs: [31/800] train_loss_con: 2004.829 energy_loss: 256.057
[GPU2] epochs: [32/800] train_loss_con: 1940.156 energy_loss: 255.968
[GPU2] epochs: [33/800] train_loss_con: 1890.705 energy_loss: 255.995
[GPU2] epochs: [34/800] train_loss_con: 1840.488 energy_loss: 255.953
[GPU2] epochs: [35/800] train_loss_con: 1782.876 energy_loss: 255.916
[GPU2] epochs: [36/800] train_loss_con: 1731.769 energy_loss: 256.062
[GPU2] epochs: [37/800] train_loss_con: 1679.145 energy_loss: 256.067
[GPU2] epochs: [38/800] train_loss_con: 1631.604 energy_loss: 256.103
[GPU2] epochs: [39/800] train_loss_con: 1581.101 energy_loss: 255.998
[GPU2] epochs: [40/800] train_loss_con: 1545.880 energy_loss: 256.012
[GPU2] epochs: [41/800] train_loss_con: 1504.513 energy_loss: 255.986
[GPU2] epochs: [42/800] train_loss_con: 1463.661 energy_loss: 256.048
[GPU2] epochs: [43/800] train_loss_con: 1432.741 energy_loss: 255.912
[GPU2] epochs: [44/800] train_loss_con: 1381.242 energy_loss: 255.894
[GPU2] epochs: [45/800] train_loss_con: 1353.312 energy_loss: 255.937
[GPU2] epochs: [46/800] train_loss_con: 1328.249 energy_loss: 256.066
[GPU2] epochs: [47/800] train_loss_con: 1295.914 energy_loss: 256.030
[GPU2] epochs: [48/800] train_loss_con: 1260.358 energy_loss: 255.959
[GPU2] epochs: [49/800] train_loss_con: 1235.644 energy_loss: 255.979
[GPU2] epochs: [50/800] train_loss_con: 1218.674 energy_loss: 255.973
[GPU2] epochs: [51/800] train_loss_con: 1194.166 energy_loss: 256.011
[GPU2] epochs: [52/800] train_loss_con: 1177.261 energy_loss: 255.943
[GPU2] epochs: [53/800] train_loss_con: 1153.193 energy_loss: 256.057
[GPU2] epochs: [54/800] train_loss_con: 1140.448 energy_loss: 255.884
[GPU2] epochs: [55/800] train_loss_con: 1125.024 energy_loss: 255.608
[GPU2] epochs: [56/800] train_loss_con: 1106.060 energy_loss: 255.351
[GPU2] epochs: [57/800] train_loss_con: 1097.433 energy_loss: 253.291
[GPU2] epochs: [58/800] train_loss_con: 1073.520 energy_loss: 247.411
[GPU2] epochs: [59/800] train_loss_con: 1067.114 energy_loss: 240.358
[GPU2] epochs: [60/800] train_loss_con: 1051.641 energy_loss: 233.311
[GPU2] epochs: [61/800] train_loss_con: 1037.347 energy_loss: 228.709
[GPU2] epochs: [62/800] train_loss_con: 1022.596 energy_loss: 226.490
[GPU2] epochs: [63/800] train_loss_con: 1014.606 energy_loss: 224.779
[GPU2] epochs: [64/800] train_loss_con: 1007.030 energy_loss: 223.840
[GPU2] epochs: [65/800] train_loss_con: 994.666 energy_loss: 222.929
[GPU2] epochs: [66/800] train_loss_con: 982.355 energy_loss: 221.858
[GPU2] epochs: [67/800] train_loss_con: 972.067 energy_loss: 221.547
[GPU2] epochs: [68/800] train_loss_con: 967.748 energy_loss: 220.931
[GPU2] epochs: [69/800] train_loss_con: 951.090 energy_loss: 220.489
[GPU2] epochs: [70/800] train_loss_con: 948.415 energy_loss: 219.959
[GPU2] epochs: [71/800] train_loss_con: 939.467 energy_loss: 219.449
[GPU2] epochs: [72/800] train_loss_con: 936.933 energy_loss: 219.382
[GPU2] epochs: [73/800] train_loss_con: 926.284 energy_loss: 219.245
[GPU2] epochs: [74/800] train_loss_con: 917.164 energy_loss: 218.359
[GPU2] epochs: [75/800] train_loss_con: 911.440 energy_loss: 218.062
[GPU2] epochs: [76/800] train_loss_con: 906.467 energy_loss: 218.064
[GPU2] epochs: [77/800] train_loss_con: 903.470 energy_loss: 217.629
[GPU2] epochs: [78/800] train_loss_con: 894.795 energy_loss: 217.681
[GPU2] epochs: [79/800] train_loss_con: 887.914 energy_loss: 217.239
[GPU2] epochs: [80/800] train_loss_con: 881.551 energy_loss: 217.318
[GPU2] epochs: [81/800] train_loss_con: 883.712 energy_loss: 217.141
[GPU2] epochs: [82/800] train_loss_con: 872.687 energy_loss: 216.603
[GPU2] epochs: [83/800] train_loss_con: 866.554 energy_loss: 216.982
[GPU2] epochs: [84/800] train_loss_con: 861.077 energy_loss: 216.634
[GPU2] epochs: [85/800] train_loss_con: 857.770 energy_loss: 216.661
[GPU2] epochs: [86/800] train_loss_con: 852.639 energy_loss: 216.691
[GPU2] epochs: [87/800] train_loss_con: 847.686 energy_loss: 216.799
[GPU2] epochs: [88/800] train_loss_con: 847.040 energy_loss: 216.467
[GPU2] epochs: [89/800] train_loss_con: 841.809 energy_loss: 216.437
[GPU2] epochs: [90/800] train_loss_con: 835.245 energy_loss: 216.163
[GPU2] epochs: [91/800] train_loss_con: 831.843 energy_loss: 216.508
[GPU2] epochs: [92/800] train_loss_con: 834.425 energy_loss: 215.921
[GPU2] epochs: [93/800] train_loss_con: 828.218 energy_loss: 216.601
[GPU2] epochs: [94/800] train_loss_con: 824.022 energy_loss: 216.585
[GPU2] epochs: [95/800] train_loss_con: 818.153 energy_loss: 216.091
[GPU2] epochs: [96/800] train_loss_con: 818.650 energy_loss: 216.426
[GPU2] epochs: [97/800] train_loss_con: 820.218 energy_loss: 216.526
[GPU2] epochs: [98/800] train_loss_con: 812.735 energy_loss: 216.193
[GPU2] epochs: [99/800] train_loss_con: 811.209 energy_loss: 216.339
[GPU2] epochs: [100/800] train_loss_con: 807.662 energy_loss: 216.643
[GPU2] epochs: [101/800] train_loss_con: 808.394 energy_loss: 215.695
[GPU2] epochs: [102/800] train_loss_con: 799.127 energy_loss: 216.631
[GPU2] epochs: [103/800] train_loss_con: 798.059 energy_loss: 216.339
[GPU2] epochs: [104/800] train_loss_con: 793.550 energy_loss: 215.905
[GPU2] epochs: [105/800] train_loss_con: 792.223 energy_loss: 216.373
[GPU2] epochs: [106/800] train_loss_con: 786.350 energy_loss: 215.657
[GPU2] epochs: [107/800] train_loss_con: 785.074 energy_loss: 216.319
[GPU2] epochs: [108/800] train_loss_con: 785.512 energy_loss: 215.733
[GPU2] epochs: [109/800] train_loss_con: 786.566 energy_loss: 215.797
[GPU2] epochs: [110/800] train_loss_con: 783.135 energy_loss: 215.515
[GPU2] epochs: [111/800] train_loss_con: 775.597 energy_loss: 215.567
[GPU2] epochs: [112/800] train_loss_con: 772.040 energy_loss: 215.264
[GPU2] epochs: [113/800] train_loss_con: 781.899 energy_loss: 215.300
[GPU2] epochs: [114/800] train_loss_con: 780.333 energy_loss: 215.405
[GPU2] epochs: [115/800] train_loss_con: 768.750 energy_loss: 215.570
[GPU2] epochs: [116/800] train_loss_con: 768.582 energy_loss: 215.022
[GPU2] epochs: [117/800] train_loss_con: 772.762 energy_loss: 215.252
[GPU2] epochs: [118/800] train_loss_con: 763.964 energy_loss: 215.146
[GPU2] epochs: [119/800] train_loss_con: 755.932 energy_loss: 214.846
[GPU2] epochs: [120/800] train_loss_con: 759.715 energy_loss: 214.811
[GPU2] epochs: [121/800] train_loss_con: 761.711 energy_loss: 214.732
[GPU2] epochs: [122/800] train_loss_con: 751.199 energy_loss: 214.853
[GPU2] epochs: [123/800] train_loss_con: 752.923 energy_loss: 214.538
[GPU2] epochs: [124/800] train_loss_con: 748.005 energy_loss: 214.863
[GPU2] epochs: [125/800] train_loss_con: 748.514 energy_loss: 214.596
[GPU2] epochs: [126/800] train_loss_con: 755.145 energy_loss: 214.305
[GPU2] epochs: [127/800] train_loss_con: 752.448 energy_loss: 214.264
[GPU2] epochs: [128/800] train_loss_con: 747.642 energy_loss: 214.288
[GPU2] epochs: [129/800] train_loss_con: 744.865 energy_loss: 213.572
[GPU2] epochs: [130/800] train_loss_con: 751.845 energy_loss: 213.446
[GPU2] epochs: [131/800] train_loss_con: 746.476 energy_loss: 213.789
[GPU2] epochs: [132/800] train_loss_con: 737.836 energy_loss: 213.113
[GPU2] epochs: [133/800] train_loss_con: 744.751 energy_loss: 212.908
[GPU2] epochs: [134/800] train_loss_con: 737.232 energy_loss: 213.252
[GPU2] epochs: [135/800] train_loss_con: 737.414 energy_loss: 212.798
[GPU2] epochs: [136/800] train_loss_con: 736.943 energy_loss: 212.571
[GPU2] epochs: [137/800] train_loss_con: 741.276 energy_loss: 212.187
[GPU2] epochs: [138/800] train_loss_con: 730.841 energy_loss: 211.948
[GPU2] epochs: [139/800] train_loss_con: 734.202 energy_loss: 212.270
[GPU2] epochs: [140/800] train_loss_con: 733.210 energy_loss: 211.769
[GPU2] epochs: [141/800] train_loss_con: 733.246 energy_loss: 211.738
[GPU2] epochs: [142/800] train_loss_con: 730.884 energy_loss: 211.516
[GPU2] epochs: [143/800] train_loss_con: 727.743 energy_loss: 211.154
[GPU2] epochs: [144/800] train_loss_con: 731.243 energy_loss: 211.320
[GPU2] epochs: [145/800] train_loss_con: 722.820 energy_loss: 210.680
[GPU2] epochs: [146/800] train_loss_con: 726.073 energy_loss: 210.832
[GPU2] epochs: [147/800] train_loss_con: 727.830 energy_loss: 210.901
[GPU2] epochs: [148/800] train_loss_con: 720.037 energy_loss: 210.586
[GPU2] epochs: [149/800] train_loss_con: 724.681 energy_loss: 210.374
[GPU2] epochs: [150/800] train_loss_con: 730.350 energy_loss: 210.469
[GPU2] epochs: [151/800] train_loss_con: 717.480 energy_loss: 209.604
[GPU2] epochs: [152/800] train_loss_con: 718.347 energy_loss: 209.738
[GPU2] epochs: [153/800] train_loss_con: 713.091 energy_loss: 209.603
[GPU2] epochs: [154/800] train_loss_con: 717.654 energy_loss: 209.166
[GPU2] epochs: [155/800] train_loss_con: 710.286 energy_loss: 208.822
[GPU2] epochs: [156/800] train_loss_con: 713.864 energy_loss: 208.517
[GPU2] epochs: [157/800] train_loss_con: 712.962 energy_loss: 208.383
[GPU2] epochs: [158/800] train_loss_con: 713.387 energy_loss: 208.045
[GPU2] epochs: [159/800] train_loss_con: 711.944 energy_loss: 207.630
[GPU2] epochs: [160/800] train_loss_con: 709.926 energy_loss: 206.919
[GPU2] epochs: [161/800] train_loss_con: 710.730 energy_loss: 207.138
[GPU2] epochs: [162/800] train_loss_con: 709.183 energy_loss: 206.953
[GPU2] epochs: [163/800] train_loss_con: 704.671 energy_loss: 206.523
[GPU2] epochs: [164/800] train_loss_con: 712.932 energy_loss: 205.997
[GPU2] epochs: [165/800] train_loss_con: 702.493 energy_loss: 205.818
[GPU2] epochs: [166/800] train_loss_con: 706.654 energy_loss: 205.303
[GPU2] epochs: [167/800] train_loss_con: 703.703 energy_loss: 205.483
[GPU2] epochs: [168/800] train_loss_con: 701.504 energy_loss: 204.946
[GPU2] epochs: [169/800] train_loss_con: 711.215 energy_loss: 204.924
[GPU2] epochs: [170/800] train_loss_con: 706.471 energy_loss: 204.516
[GPU2] epochs: [171/800] train_loss_con: 698.457 energy_loss: 203.907
[GPU2] epochs: [172/800] train_loss_con: 695.768 energy_loss: 203.327
[GPU2] epochs: [173/800] train_loss_con: 702.223 energy_loss: 203.118
[GPU2] epochs: [174/800] train_loss_con: 691.707 energy_loss: 202.959
[GPU2] epochs: [175/800] train_loss_con: 693.038 energy_loss: 202.418
[GPU2] epochs: [176/800] train_loss_con: 700.544 energy_loss: 202.136
[GPU2] epochs: [177/800] train_loss_con: 692.321 energy_loss: 202.077
[GPU2] epochs: [178/800] train_loss_con: 696.352 energy_loss: 202.019
[GPU2] epochs: [179/800] train_loss_con: 694.340 energy_loss: 200.908
[GPU2] epochs: [180/800] train_loss_con: 691.405 energy_loss: 200.982
[GPU2] epochs: [181/800] train_loss_con: 702.134 energy_loss: 201.162
[GPU2] epochs: [182/800] train_loss_con: 696.623 energy_loss: 200.611
[GPU2] epochs: [183/800] train_loss_con: 701.308 energy_loss: 200.294
[GPU2] epochs: [184/800] train_loss_con: 694.173 energy_loss: 199.845
[GPU2] epochs: [185/800] train_loss_con: 694.701 energy_loss: 199.836
