environment: 
YAML: configs/bt.sc.c100.yaml
==> SEED: 42
==> num_classes: 100
==> data_name: cifar100
==> data_params: {'algo': 'bt-sc', 'data_dir': 'datasets/cifar100', 'batch_size': 512, 'num_workers': 3, 'image_size': 32}
==> return_logs: False
==> eval_every: 10
==> n_epochs: 800
==> n_epochs_mlp: 100
==> gpu_id: 2
==> opt: SGD
==> opt_params: {'lr': 0.4, 'momentum': 0.9, 'weight_decay': 0.0001}
==> schedular_params: {'T_max': 800, 'eta_min': 0.001}
==> mlp_opt: SGD
==> mlp_opt_params: {'lr': 0.1, 'momentum': 0.9}
==> model_params: {'model_name': 'resnet18', 'pretrained': False, 'proj_dim': 4096, 'barlow_hidden': 4096}
==> mlp_type: linear
==> loss: bt-sc
==> loss_params: {'lambd': 0.005}
==> distributed: False
==> train_algo: bt-sc
==> model_save_path: saved_models/bt.sc.c100.r18.e800.pth
==> energy_model_params: {'eta': 0.01, 'steps': 5, 'sigma': 0.2, 'delta': 0.1, 'net_type': 'score'}
==> energy_opt: AdamW
==> energy_model_opt_params: {'lr': 0.001}
==> warmup_epochs: 0
==> config: configs/bt.sc.c100.yaml
--------------------------------------------------
===> using linear mlp
using optimizer: SGD
using optimizer: SGD
loss function: bt-sc
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
# of Training Images: 50000
# of Testing Images: 10000
using optimizer: AdamW
### Barlow Twins with SC-net Training begins
[GPU2] epochs: [1/800] train_loss_con: 5132.282 energy_loss: 256.075
[GPU2] epochs: [2/800] train_loss_con: 3820.534 energy_loss: 256.052
[GPU2] epochs: [3/800] train_loss_con: 3773.802 energy_loss: 256.107
[GPU2] epochs: [4/800] train_loss_con: 3768.203 energy_loss: 256.005
[GPU2] epochs: [5/800] train_loss_con: 3707.201 energy_loss: 255.939
[GPU2] epochs: [6/800] train_loss_con: 3646.156 energy_loss: 255.974
[GPU2] epochs: [7/800] train_loss_con: 3653.133 energy_loss: 255.980
[GPU2] epochs: [8/800] train_loss_con: 3643.719 energy_loss: 255.965
[GPU2] epochs: [9/800] train_loss_con: 3635.171 energy_loss: 256.005
[GPU2] epochs: [10/800] train_loss_con: 3608.018 energy_loss: 255.964
[GPU2] epochs: [11/800] train_loss_con: 3626.696 energy_loss: 256.110
[GPU2] epochs: [12/800] train_loss_con: 3632.400 energy_loss: 256.030
[GPU2] epochs: [13/800] train_loss_con: 3610.140 energy_loss: 255.973
[GPU2] epochs: [14/800] train_loss_con: 3595.122 energy_loss: 256.014
[GPU2] epochs: [15/800] train_loss_con: 3589.092 energy_loss: 255.987
[GPU2] epochs: [16/800] train_loss_con: 3526.529 energy_loss: 256.049
[GPU2] epochs: [17/800] train_loss_con: 3525.961 energy_loss: 256.027
[GPU2] epochs: [18/800] train_loss_con: 3513.115 energy_loss: 255.899
[GPU2] epochs: [19/800] train_loss_con: 3500.812 energy_loss: 256.029
[GPU2] epochs: [20/800] train_loss_con: 3482.247 energy_loss: 256.037
[GPU2] epochs: [21/800] train_loss_con: 3449.900 energy_loss: 255.979
[GPU2] epochs: [22/800] train_loss_con: 3451.140 energy_loss: 255.947
[GPU2] epochs: [23/800] train_loss_con: 3396.050 energy_loss: 256.078
[GPU2] epochs: [24/800] train_loss_con: 3373.707 energy_loss: 255.958
[GPU2] epochs: [25/800] train_loss_con: 3377.286 energy_loss: 255.928
[GPU2] epochs: [26/800] train_loss_con: 3364.414 energy_loss: 256.003
[GPU2] epochs: [27/800] train_loss_con: 3359.507 energy_loss: 255.930
[GPU2] epochs: [28/800] train_loss_con: 3358.240 energy_loss: 255.956
[GPU2] epochs: [29/800] train_loss_con: 3350.377 energy_loss: 256.014
[GPU2] epochs: [30/800] train_loss_con: 3332.978 energy_loss: 256.111
[GPU2] epochs: [31/800] train_loss_con: 3253.284 energy_loss: 256.057
